#rnd_rate,wrt_rate,io_size,1_iops,device,cpu
0,0,0.001953125,0.000036076,0,0.299575
0,0,0.001953125,2.99928766918E-05,1,0.388575
0,0,0.00390625,4.35255712731E-05,0,0.319075
0,0,0.00390625,3.40052198012E-05,1,0.3758
0,0,0.0078125,6.42776795758E-05,0,0.2177
0,0,0.0078125,0.000041383,1,0.3072
0,0,0.015625,0.0001287208,0,0.14155
0,0,0.015625,5.76352266505E-05,1,0.2318
0,0,0.03125,0.000257119,0,0.098475
0,0,0.03125,9.34557603794E-05,1,0.184875
0,0,0.0625,0.000514271,0,0.0675
0,0,0.0625,0.0001593054,1,0.1222
0,0,0.125,0.0010309278,0,0.05825
0,0,0.125,0.0002797203,1,0.0642
0,0,0.25,0.0020639835,0,0.0491
0,0,0.25,0.0005291005,1,0.056325
0,0,0.5,0.004127967,0,0.0237
0,0,0.5,0.0011108026,1,0.07225
0,0,1,0.0082815735,0,0.01575
0,0,1,0.0020964361,1,0.064575
0,0.2,0.001953125,0.0005504335,0,0.0387
0,0.2,0.001953125,0.0001065445,1,0.186775
0,0.2,0.00390625,0.0095238095,0,0.00505
0,0.2,0.00390625,0.0001108371,1,0.168625
0,0.2,0.0078125,0.0116618076,0,0.0037
0,0.2,0.0078125,0.000135888,1,0.170675
0,0.2,0.015625,0.0138408304,0,0.003425
0,0.2,0.015625,0.0001780151,1,0.143575
0,0.2,0.03125,0.016064257,0,0.0034
0,0.2,0.03125,0.0002272211,1,0.110175
0,0.2,0.0625,0.0183486239,0,0.0034
0,0.2,0.0625,0.0003203075,1,0.103325
0,0.2,0.125,0.0196078431,0,0.0035
0,0.2,0.125,0.0004843201,1,0.079975
0,0.2,0.25,0.0209424084,0,0.003775
0,0.2,0.25,0.0008041817,1,0.062275
0,0.2,0.5,0.0203045685,0,0.005125
0,0.2,0.5,0.0014492754,1,0.0726
0,0.2,1,0.0195121951,0,0.00835
0,0.2,1,0.0024630542,1,0.0489
0,0.4,0.001953125,0.0006928807,0,0.033675
0,0.4,0.001953125,0.0001089265,1,0.1726
0,0.4,0.00390625,0.0067567568,0,0.0063
0,0.4,0.00390625,0.0001113617,1,0.1571
0,0.4,0.0078125,0.0074074074,0,0.005525
0,0.4,0.0078125,0.0001447126,1,0.159325
0,0.4,0.015625,0.0074211503,0,0.006475
0,0.4,0.015625,0.0001956947,1,0.141475
0,0.4,0.03125,0.0074766355,0,0.007525
0,0.4,0.03125,0.0002520955,1,0.1172
0,0.4,0.0625,0.0063897764,0,0.010675
0,0.4,0.0625,0.000360848,1,0.10045
0,0.4,0.125,0.0039564787,0,0.019675
0,0.4,0.125,0.0005447365,1,0.077925
0,0.4,0.25,0.0044296788,0,0.02265
0,0.4,0.25,0.0009101251,1,0.059175
0,0.4,0.5,0.0059347181,0,0.020775
0,0.4,0.5,0.0015860428,1,0.0696
0,0.4,1,0.0097087379,0,0.0176
0,0.4,1,0.0027322404,1,0.053275
0,0.6,0.001953125,0.0007886435,0,0.031325
0,0.6,0.001953125,9.72478848585E-05,1,0.198525
0,0.6,0.00390625,0.0048019208,0,0.00855
0,0.6,0.00390625,0.0001047779,1,0.201225
0,0.6,0.0078125,0.0047505938,0,0.0086
0,0.6,0.0078125,0.0001343544,1,0.1667
0,0.6,0.015625,0.0038797284,0,0.0122
0,0.6,0.015625,0.0001834694,1,0.14485
0,0.6,0.03125,0.0032154341,0,0.01765
0,0.6,0.03125,0.0002380811,1,0.120725
0,0.6,0.0625,0.0029455081,0,0.022875
0,0.6,0.0625,0.0003636364,1,0.0921
0,0.6,0.125,0.0037878788,0,0.02165
0,0.6,0.125,0.0005547081,1,0.066575
0,0.6,0.25,0.0042964554,0,0.0257
0,0.6,0.25,0.000952381,1,0.0618
0,0.6,0.5,0.0061068702,0,0.02225
0,0.6,0.5,0.001607717,1,0.074875
0,0.6,1,0.0101522843,0,0.014925
0,0.6,1,0.0028248588,1,0.0515
0,0.8,0.001953125,0.0009496676,0,0.02635
0,0.8,0.001953125,7.00255593292E-05,1,0.207725
0,0.8,0.00390625,0.0030349014,0,0.01245
0,0.8,0.00390625,8.24453284416E-05,1,0.222775
0,0.8,0.0078125,0.0026455026,0,0.014525
0,0.8,0.0078125,0.000104455,1,0.187725
0,0.8,0.015625,0.0017628911,0,0.0234
0,0.8,0.015625,0.000143287,1,0.171825
0,0.8,0.03125,0.0018930431,0,0.027325
0,0.8,0.03125,0.0002030869,1,0.1277
0,0.8,0.0625,0.0021470746,0,0.0283
0,0.8,0.0625,0.0003216986,1,0.09995
0,0.8,0.125,0.00249066,0,0.029425
0,0.8,0.125,0.0005171968,1,0.06755
0,0.8,0.25,0.0035460993,0,0.024775
0,0.8,0.25,0.0008770007,1,0.054025
0,0.8,0.5,0.0055865922,0,0.021975
0,0.8,0.5,0.0015491867,1,0.07595
0,0.8,1,0.0103092784,0,0.016675
0,0.8,1,0.0028268551,1,0.056875
0,1,0.001953125,4.17667327973E-05,0,0.307375
0,1,0.001953125,3.53513035793E-05,1,0.36745
0,1,0.00390625,4.54674623473E-05,0,0.3138
0,1,0.00390625,3.92222233117E-05,1,0.35725
0,1,0.0078125,6.3224113677E-05,0,0.2387
0,1,0.0078125,4.77737435505E-05,1,0.292725
0,1,0.015625,0.0001253722,0,0.162875
0,1,0.015625,6.35172687574E-05,1,0.215925
0,1,0.03125,0.0002522068,0,0.1159
0,1,0.03125,0.0001053214,1,0.207225
0,1,0.0625,0.0005018821,0,0.0692
0,1,0.0625,0.0001754078,1,0.142
0,1,0.125,0.0010040161,0,0.062325
0,1,0.125,0.0003064664,1,0.101125
0,1,0.25,0.002020202,0,0.055175
0,1,0.25,0.0005864243,1,0.08745
0,1,0.5,0.0039880359,0,0.028875
0,1,0.5,0.0011844833,1,0.099375
0,1,1,0.0080321285,0,0.020675
0,1,1,0.0021917808,1,0.0641
0.2,0,0.001953125,0.00110957,0,0.03255
0.2,0,0.001953125,9.98477322084E-05,1,0.1267
0.2,0,0.00390625,0.0011092623,0,0.03285
0.2,0,0.00390625,0.0001081812,1,0.14005
0.2,0,0.0078125,0.0011223345,0,0.027325
0.2,0,0.0078125,0.0001237968,1,0.1557
0.2,0,0.015625,0.0011366866,0,0.0277
0.2,0,0.015625,0.000144087,1,0.1526
0.2,0,0.03125,0.0012742912,0,0.030575
0.2,0,0.03125,0.0001819505,1,0.14675
0.2,0,0.0625,0.0015576324,0,0.0329
0.2,0,0.0625,0.0002437984,1,0.09825
0.2,0,0.125,0.0020429009,0,0.033675
0.2,0,0.125,0.0003763643,1,0.0844
0.2,0,0.25,0.0031771247,0,0.031525
0.2,0,0.25,0.0006372471,1,0.072675
0.2,0,0.5,0.0051085568,0,0.01835
0.2,0,0.5,0.0012300123,1,0.0958
0.2,0,1,0.0095465394,0,0.0138
0.2,0,1,0.0022075055,1,0.065875
0.2,0.2,0.001953125,0.0071301248,0,0.00875
0.2,0.2,0.001953125,0.0001108678,1,0.16695
0.2,0.2,0.00390625,0.0062893082,0,0.009575
0.2,0.2,0.00390625,0.0001134333,1,0.159425
0.2,0.2,0.0078125,0.0029282577,0,0.015125
0.2,0.2,0.0078125,0.0001418339,1,0.153525
0.2,0.2,0.015625,0.0029368576,0,0.0163
0.2,0.2,0.015625,0.0001864715,1,0.1334
0.2,0.2,0.03125,0.0032733224,0,0.01575
0.2,0.2,0.03125,0.0002474329,1,0.097725
0.2,0.2,0.0625,0.0034453058,0,0.0175
0.2,0.2,0.0625,0.0003784295,1,0.097675
0.2,0.2,0.125,0.0029739777,0,0.02295
0.2,0.2,0.125,0.0005326941,1,0.064325
0.2,0.2,0.25,0.0039800995,0,0.0194
0.2,0.2,0.25,0.0008012821,1,0.06095
0.2,0.2,0.5,0.0062111801,0,0.0199
0.2,0.2,0.5,0.001459854,1,0.072125
0.2,0.2,1,0.00968523,0,0.014975
0.2,0.2,1,0.0025380711,1,0.059225
0.2,0.4,0.001953125,0.0093457944,0,0.006375
0.2,0.4,0.001953125,0.0001044714,1,0.184775
0.2,0.4,0.00390625,0.0093023256,0,0.00645
0.2,0.4,0.00390625,0.0001112038,1,0.18325
0.2,0.4,0.0078125,0.008492569,0,0.0064
0.2,0.4,0.0078125,0.0001432049,1,0.1523
0.2,0.4,0.015625,0.0087527352,0,0.006475
0.2,0.4,0.015625,0.0001988269,1,0.111425
0.2,0.4,0.03125,0.0099750623,0,0.005825
0.2,0.4,0.03125,0.0002912056,1,0.102025
0.2,0.4,0.0625,0.0103092784,0,0.006225
0.2,0.4,0.0625,0.0004247186,1,0.0918
0.2,0.4,0.125,0.0103092784,0,0.006925
0.2,0.4,0.125,0.0006495615,1,0.077
0.2,0.4,0.25,0.0071556351,0,0.0124
0.2,0.4,0.25,0.000976801,1,0.055125
0.2,0.4,0.5,0.0066777963,0,0.0204
0.2,0.4,0.5,0.0015810277,1,0.07305
0.2,0.4,1,0.0101010101,0,0.013175
0.2,0.4,1,0.0027548209,1,0.0565
0.2,0.6,0.001953125,0.0059790732,0,0.009525
0.2,0.6,0.001953125,8.94914647515E-05,1,0.202075
0.2,0.6,0.00390625,0.0059701493,0,0.009925
0.2,0.6,0.00390625,9.7761266986E-05,1,0.20035
0.2,0.6,0.0078125,0.0026863667,0,0.01875
0.2,0.6,0.0078125,0.0001341742,1,0.17475
0.2,0.6,0.015625,0.002994012,0,0.0174
0.2,0.6,0.015625,0.0001897263,1,0.128575
0.2,0.6,0.03125,0.0032232071,0,0.017525
0.2,0.6,0.03125,0.0002911632,1,0.1053
0.2,0.6,0.0625,0.0034812881,0,0.019625
0.2,0.6,0.0625,0.0004165799,1,0.0936
0.2,0.6,0.125,0.0038350911,0,0.0216
0.2,0.6,0.125,0.0005853944,1,0.08
0.2,0.6,0.25,0.0030280091,0,0.021025
0.2,0.6,0.25,0.0009576251,1,0.063975
0.2,0.6,0.5,0.0051880674,0,0.0205
0.2,0.6,0.5,0.0016187778,1,0.074325
0.2,0.6,1,0.010989011,0,0.01475
0.2,0.6,1,0.0028571429,1,0.050925
0.2,0.8,0.001953125,0.0036429872,0,0.011925
0.2,0.8,0.001953125,6.77541202974E-05,1,0.23685
0.2,0.8,0.00390625,0.0039486673,0,0.012725
0.2,0.8,0.00390625,7.37395151627E-05,1,0.217825
0.2,0.8,0.0078125,0.0020682523,0,0.02135
0.2,0.8,0.0078125,0.0001043052,1,0.180325
0.2,0.8,0.015625,0.0020725389,0,0.022825
0.2,0.8,0.015625,0.0001565496,1,0.133325
0.2,0.8,0.03125,0.0022111664,0,0.022475
0.2,0.8,0.03125,0.0002395783,1,0.117425
0.2,0.8,0.0625,0.0024875622,0,0.02445
0.2,0.8,0.0625,0.0003451251,1,0.1074
0.2,0.8,0.125,0.0027835769,0,0.026875
0.2,0.8,0.125,0.000556483,1,0.0714
0.2,0.8,0.25,0.0035335689,0,0.025025
0.2,0.8,0.25,0.0009180629,1,0.0707
0.2,0.8,0.5,0.0054794521,0,0.021075
0.2,0.8,0.5,0.0015766654,1,0.07485
0.2,0.8,1,0.0103092784,0,0.015125
0.2,0.8,1,0.0027700831,1,0.05265
0.2,1,0.001953125,0.0003171583,0,0.079375
0.2,1,0.001953125,3.3732501265E-05,1,0.3507
0.2,1,0.00390625,0.0006170935,0,0.0542
0.2,1,0.00390625,3.77611418969E-05,1,0.3451
0.2,1,0.0078125,0.0007031113,0,0.04725
0.2,1,0.0078125,4.72238291442E-05,1,0.307975
0.2,1,0.015625,0.0005825808,0,0.069275
0.2,1,0.015625,6.09273137147E-05,1,0.2089
0.2,1,0.03125,0.0009626955,0,0.03745
0.2,1,0.03125,0.0001019654,1,0.19675
0.2,1,0.0625,0.0008080808,0,0.05495
0.2,1,0.0625,0.0001769912,1,0.142975
0.2,1,0.125,0.0012775471,0,0.030975
0.2,1,0.125,0.0003216468,1,0.1088
0.2,1,0.25,0.0012476606,0,0.0354
0.2,1,0.25,0.0005951495,1,0.092225
0.2,1,0.5,0.0030840401,0,0.0326
0.2,1,0.5,0.0011813349,1,0.093275
0.2,1,1,0.0076045627,0,0.01955
0.2,1,1,0.0022484542,1,0.060325
0.4,0,0.001953125,0.0021586616,0,0.02915
0.4,0,0.001953125,0.0001103509,1,0.1254
0.4,0,0.00390625,0.0021516945,0,0.028075
0.4,0,0.00390625,0.0001162419,1,0.134625
0.4,0,0.0078125,0.0021680217,0,0.0226
0.4,0,0.0078125,0.0001256518,1,0.12265
0.4,0,0.015625,0.0021715527,0,0.02265
0.4,0,0.015625,0.0001429899,1,0.114625
0.4,0,0.03125,0.0023337223,0,0.024225
0.4,0,0.03125,0.0001879611,1,0.125825
0.4,0,0.0625,0.0025188917,0,0.026125
0.4,0,0.0625,0.0002599259,1,0.111725
0.4,0,0.125,0.003021148,0,0.024625
0.4,0,0.125,0.0003721623,1,0.06795
0.4,0,0.25,0.0041710115,0,0.02405
0.4,0,0.25,0.0006363347,1,0.062925
0.4,0,0.5,0.005952381,0,0.0173
0.4,0,0.5,0.0012353305,1,0.08515
0.4,0,1,0.0097323601,0,0.01395
0.4,0,1,0.0022038567,1,0.059175
0.4,0.2,0.001953125,0.0090909091,0,0.006775
0.4,0.2,0.001953125,0.000109553,1,0.1531
0.4,0.2,0.00390625,0.0099009901,0,0.0063
0.4,0.2,0.00390625,0.0001202935,1,0.171825
0.4,0.2,0.0078125,0.010230179,0,0.005325
0.4,0.2,0.0078125,0.0001438073,1,0.158725
0.4,0.2,0.015625,0.0117302053,0,0.004725
0.4,0.2,0.015625,0.0001901683,1,0.1389
0.4,0.2,0.03125,0.014084507,0,0.004175
0.4,0.2,0.03125,0.0002613354,1,0.105525
0.4,0.2,0.0625,0.0162601626,0,0.003775
0.4,0.2,0.0625,0.0003673095,1,0.1056
0.4,0.2,0.125,0.0176211454,0,0.003925
0.4,0.2,0.125,0.0005011275,1,0.078675
0.4,0.2,0.25,0.018018018,0,0.004975
0.4,0.2,0.25,0.0008453085,1,0.06075
0.4,0.2,0.5,0.0181818182,0,0.0039
0.4,0.2,0.5,0.0014577259,1,0.0756
0.4,0.2,1,0.0099255583,0,0.01435
0.4,0.2,1,0.0025094103,1,0.060025
0.4,0.4,0.001953125,0.0068376068,0,0.0099
0.4,0.4,0.001953125,0.000105031,1,0.181725
0.4,0.4,0.00390625,0.006504065,0,0.009525
0.4,0.4,0.00390625,0.0001083101,1,0.1742
0.4,0.4,0.0078125,0.0039408867,0,0.01465
0.4,0.4,0.0078125,0.0001388648,1,0.151775
0.4,0.4,0.015625,0.0040650407,0,0.0146
0.4,0.4,0.015625,0.0002023677,1,0.117675
0.4,0.4,0.03125,0.0042060988,0,0.01445
0.4,0.4,0.03125,0.0002964061,1,0.11635
0.4,0.4,0.0625,0.0042194093,0,0.01695
0.4,0.4,0.0625,0.0004235045,1,0.084875
0.4,0.4,0.125,0.0045248869,0,0.017775
0.4,0.4,0.125,0.0006197707,1,0.07265
0.4,0.4,0.25,0.0050890585,0,0.01875
0.4,0.4,0.25,0.0009130336,1,0.060425
0.4,0.4,0.5,0.0057471264,0,0.007525
0.4,0.4,0.5,0.0015879317,1,0.06945
0.4,0.4,1,0.0082644628,0,0.012225
0.4,0.4,1,0.00276434,1,0.05455
0.4,0.6,0.001953125,0.0086956522,0,0.00625
0.4,0.6,0.001953125,9.2368086826E-05,1,0.208475
0.4,0.6,0.00390625,0.0064935065,0,0.008425
0.4,0.6,0.00390625,9.83888820563E-05,1,0.20735
0.4,0.6,0.0078125,0.0055020633,0,0.00935
0.4,0.6,0.0078125,0.0001285141,1,0.1547
0.4,0.6,0.015625,0.0056818182,0,0.0101
0.4,0.6,0.015625,0.000198334,1,0.1216
0.4,0.6,0.03125,0.0056737589,0,0.01055
0.4,0.6,0.03125,0.0003023889,1,0.091425
0.4,0.6,0.0625,0.0052356021,0,0.012475
0.4,0.6,0.0625,0.0003905869,1,0.074675
0.4,0.6,0.125,0.0043620502,0,0.019425
0.4,0.6,0.125,0.0005903188,1,0.0784
0.4,0.6,0.25,0.0045300113,0,0.02245
0.4,0.6,0.25,0.0009229349,1,0.062275
0.4,0.6,0.5,0.00625,0,0.018975
0.4,0.6,0.5,0.0016427105,1,0.0656
0.4,0.6,1,0.0103626943,0,0.015625
0.4,0.6,1,0.0028129395,1,0.05005
0.4,0.8,0.001953125,0.0066666667,0,0.0066
0.4,0.8,0.001953125,7.1734724987E-05,1,0.2432
0.4,0.8,0.00390625,0.0039408867,0,0.0116
0.4,0.8,0.00390625,7.54973387188E-05,1,0.2379
0.4,0.8,0.0078125,0.0033085194,0,0.01355
0.4,0.8,0.0078125,0.0001033966,1,0.1818
0.4,0.8,0.015625,0.0032102729,0,0.014475
0.4,0.8,0.015625,0.0001627604,1,0.144925
0.4,0.8,0.03125,0.0028735632,0,0.018225
0.4,0.8,0.03125,0.0002461993,1,0.113025
0.4,0.8,0.0625,0.0029717682,0,0.0214
0.4,0.8,0.0625,0.0003432887,1,0.119725
0.4,0.8,0.125,0.0034542314,0,0.022025
0.4,0.8,0.125,0.0005387931,1,0.0692
0.4,0.8,0.25,0.0022701476,0,0.023075
0.4,0.8,0.25,0.0008970621,1,0.0641
0.4,0.8,0.5,0.0032921811,0,0.0208
0.4,0.8,0.5,0.0015829046,1,0.06635
0.4,0.8,1,0.0079207921,0,0.013775
0.4,0.8,1,0.0027586207,1,0.045425
0.4,1,0.001953125,0.0035304501,0,0.011125
0.4,1,0.001953125,0.00003586,1,0.364025
0.4,1,0.00390625,0.001344086,0,0.02985
0.4,1,0.00390625,3.9022486708E-05,1,0.35305
0.4,1,0.0078125,0.001356392,0,0.031125
0.4,1,0.0078125,4.87662147664E-05,1,0.31495
0.4,1,0.015625,0.0014450867,0,0.030125
0.4,1,0.015625,6.62635633231E-05,1,0.246325
0.4,1,0.03125,0.001221374,0,0.049575
0.4,1,0.03125,0.0001054936,1,0.201675
0.4,1,0.0625,0.0014652015,0,0.0436
0.4,1,0.0625,0.000193977,1,0.188775
0.4,1,0.125,0.0017398869,0,0.037975
0.4,1,0.125,0.0003159308,1,0.108925
0.4,1,0.25,0.0022766079,0,0.03845
0.4,1,0.25,0.0006084576,1,0.07575
0.4,1,0.5,0.0019743337,0,0.0353
0.4,1,0.5,0.0012395414,1,0.105125
